contract,duration
reentrancy.0x93c32845fae42c83a70e5f06214c8433665c2ab5_sol_Log.hex,2.5682356357574463
unchecked_low_level_calls.0x7a4349a749e59a5736efb7826ee3496a2dfd5489_sol_WhaleGiveaway1.hex,2.4753835201263428
reentrancy.0xf015c35649c82f5467c9c74b7f28ee67665aad68_sol_Log.hex,2.5325846672058105
unchecked_low_level_calls.0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6_sol_Splitter.hex,2.673858165740967
access_control.wallet_04_confused_sign_sol_Wallet.hex,2.3264007568359375
unchecked_low_level_calls.0x958a8f594101d2c0485a52319f29b2647f2ebc06_sol_Owned.hex,2.3185336589813232
reentrancy.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1_sol_ACCURAL_DEPOSIT.hex,2.3178086280822754
unchecked_low_level_calls.0x19cf8481ea15427a98ba3cdd6d9e14690011ab10_sol_SafeMath.hex,2.21897554397583
access_control.multiowned_vulnerable_sol_TestContract.hex,2.5698466300964355
access_control.multiowned_vulnerable_sol_MultiOwnable.hex,2.3183445930480957
reentrancy.spank_chain_payment_sol_ECTools.hex,2.5228495597839355
reentrancy.reentrancy_dao_sol_ReentrancyDAO.hex,2.5189037322998047
front_running.eth_tx_order_dependence_minimal_sol_EthTxOrderDependenceMinimal.hex,2.568662405014038
unchecked_low_level_calls.0xb37f18af15bafb869a065b61fc83cfc44ed9cc27_sol_SimpleWallet.hex,2.7198169231414795
denial_of_service.dos_simple_sol_DosOneFunc.hex,2.518047571182251
unchecked_low_level_calls.0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01_sol_Token.hex,2.572550058364868
unchecked_low_level_calls.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e_sol_WhaleGiveaway2.hex,2.623150110244751
front_running.odds_and_evens_sol_OddsAndEvens.hex,2.7217252254486084
unchecked_low_level_calls.0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01_sol_Ownable.hex,2.5834195613861084
reentrancy.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e_sol_WALLET.hex,2.470344066619873
access_control.parity_wallet_bug_1_sol_Wallet.hex,2.4687893390655518
unchecked_low_level_calls.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707_sol_Pie.hex,2.785215377807617
unchecked_low_level_calls.0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7_sol_keepMyEther.hex,2.77095890045166
reentrancy.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888_sol_Log.hex,2.7185475826263428
time_manipulation.roulette_sol_Roulette.hex,2.6213667392730713
reentrancy.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839_sol_Ownable.hex,2.780968427658081
unchecked_low_level_calls.lotto_sol_Lotto.hex,2.276829481124878
reentrancy.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3_sol_Log.hex,2.869450569152832
reentrancy.0x4e73b32ed6c35f570686b89848e5f39f20ecc106_sol_LogFile.hex,2.8700733184814453
arithmetic.BECToken_sol_PausableToken.hex,3.269141435623169
unchecked_low_level_calls.0x19cf8481ea15427a98ba3cdd6d9e14690011ab10_sol_daoPOLSKAtokens.hex,4.133774995803833
access_control.wallet_03_wrong_constructor_sol_Wallet.hex,2.721226930618286
time_manipulation.governmental_survey_sol_Governmental.hex,2.6745519638061523
reentrancy.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8_sol_DEP_BANK.hex,2.9309487342834473
unchecked_low_level_calls.0xb620cee6b52f96f3c6b253e6eea556aa2d214a99_sol_DrainMe.hex,3.0197086334228516
unchecked_low_level_calls.0x39cfd754c85023648bf003bea2dd498c5612abfa_sol_Token.hex,2.478764772415161
arithmetic.integer_overflow_add_sol_IntegerOverflowAdd.hex,2.669861316680908
unchecked_low_level_calls.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf_sol_Honey.hex,2.4688596725463867
short_addresses.short_address_example_sol_MyToken.hex,2.3304290771484375
unchecked_low_level_calls.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839_sol_TokenBank.hex,2.919861316680908
unchecked_low_level_calls.0x663e4229142a27f00bafb5d087e1e730648314c3_sol_PandaBase.hex,2.7202935218811035
bad_randomness.lottery_sol_Lottery.hex,2.6702232360839844
unchecked_low_level_calls.unchecked_return_value_sol_ReturnValue.hex,2.5315117835998535
access_control.proxy_sol_Proxy.hex,2.52889347076416
reentrancy.0x561eac93c92360949ab1f1403323e6db345cbf31_sol_BANK_SAFE.hex,2.6279327869415283
unchecked_low_level_calls.0x39cfd754c85023648bf003bea2dd498c5612abfa_sol_Ownable.hex,2.6197004318237305
